karyotype,pra_mut,npm1_mut,flt3_itd,cebpa_mut,all.sources,tcga.count,baml.count,amlsg.count,allsources.pct,tcga.pct,baml.pct,amlsg.pct
Adverse,0,0,0,0,157,20,7,130,0.09334126040428062,0.10362694300518134,0.06666666666666667,0.09393063583815028
Adverse,0,0,0,1,4,1,0,3,0.0023781212841854932,0.0051813471502590676,0,0.002167630057803468
Adverse,0,0,0,NA,161,21,7,133,0.09571938168846611,0.10880829015544041,0.06666666666666667,0.09609826589595376
Adverse,0,0,1,0,25,1,1,23,0.014863258026159334,0.0051813471502590676,0.009523809523809525,0.016618497109826588
Adverse,0,0,1,1,0,0,0,0,0,0,0,0
Adverse,0,0,1,NA,25,1,1,23,0.014863258026159334,0.0051813471502590676,0.009523809523809525,0.016618497109826588
Adverse,0,0,NA,NA,186,22,8,156,0.11058263971462545,0.11398963730569948,0.0761904761904762,0.11271676300578035
Adverse,0,1,0,0,8,2,2,4,0.0047562425683709865,0.010362694300518135,0.01904761904761905,0.002890173410404624
Adverse,0,1,0,1,0,0,0,0,0,0,0,0
Adverse,0,1,0,NA,8,2,2,4,0.0047562425683709865,0.010362694300518135,0.01904761904761905,0.002890173410404624
Adverse,0,1,1,0,3,1,1,1,0.0017835909631391202,0.0051813471502590676,0.009523809523809525,7.22543352601156e-4
Adverse,0,1,1,1,0,0,0,0,0,0,0,0
Adverse,0,1,1,NA,3,1,1,1,0.0017835909631391202,0.0051813471502590676,0.009523809523809525,7.22543352601156e-4
Adverse,0,1,NA,NA,11,3,3,5,0.006539833531510107,0.015544041450777202,0.02857142857142857,0.0036127167630057803
Adverse,0,NA,NA,NA,197,25,11,161,0.11712247324613555,0.12953367875647667,0.10476190476190476,0.11632947976878613
Adverse,1,NA,NA,NA,135,17,14,104,0.0802615933412604,0.08808290155440414,0.13333333333333333,0.07514450867052024
Adverse,NA,NA,NA,NA,332,42,25,265,0.19738406658739596,0.21761658031088082,0.23809523809523808,0.19147398843930635
Intermediate,0,0,0,0,150,15,11,124,0.089179548156956,0.07772020725388601,0.10476190476190476,0.08959537572254335
Intermediate,0,0,0,1,16,2,0,14,0.009512485136741973,0.010362694300518135,0,0.010115606936416185
Intermediate,0,0,0,NA,166,17,11,138,0.09869203329369798,0.08808290155440414,0.10476190476190476,0.09971098265895954
Intermediate,0,0,1,0,25,2,1,22,0.014863258026159334,0.010362694300518135,0.009523809523809525,0.015895953757225433
Intermediate,0,0,1,1,2,0,0,2,0.0011890606420927466,0,0,0.001445086705202312
Intermediate,0,0,1,NA,27,2,1,24,0.01605231866825208,0.010362694300518135,0.009523809523809525,0.017341040462427744
Intermediate,0,0,NA,NA,193,19,12,162,0.11474435196195006,0.09844559585492228,0.11428571428571428,0.11705202312138728
Intermediate,0,1,0,0,35,2,3,30,0.020808561236623068,0.010362694300518135,0.02857142857142857,0.02167630057803468
Intermediate,0,1,0,1,0,0,0,0,0,0,0,0
Intermediate,0,1,0,NA,35,2,3,30,0.020808561236623068,0.010362694300518135,0.02857142857142857,0.02167630057803468
Intermediate,0,1,1,0,13,3,0,10,0.0077288941736028535,0.015544041450777202,0,0.0072254335260115606
Intermediate,0,1,1,1,0,0,0,0,0,0,0,0
Intermediate,0,1,1,NA,13,3,0,10,0.0077288941736028535,0.015544041450777202,0,0.0072254335260115606
Intermediate,0,1,NA,NA,48,5,3,40,0.028537455410225922,0.025906735751295335,0.02857142857142857,0.028901734104046242
Intermediate,0,NA,NA,NA,241,24,15,202,0.14328180737217597,0.12435233160621761,0.14285714285714285,0.14595375722543352
Intermediate,1,NA,NA,NA,63,7,7,49,0.03745541022592152,0.03626943005181347,0.06666666666666667,0.03540462427745665
Intermediate,NA,NA,NA,NA,304,31,22,251,0.1807372175980975,0.16062176165803108,0.20952380952380953,0.1813583815028902
Favorable,0,0,0,0,187,24,11,152,0.11117717003567182,0.12435233160621761,0.10476190476190476,0.10982658959537572
Favorable,0,0,0,1,1,0,0,1,5.945303210463733e-4,0,0,7.22543352601156e-4
Favorable,0,0,0,NA,188,24,11,153,0.1117717003567182,0.12435233160621761,0.10476190476190476,0.11054913294797687
Favorable,0,0,1,0,39,9,2,28,0.02318668252080856,0.046632124352331605,0.01904761904761905,0.02023121387283237
Favorable,0,0,1,1,1,0,0,1,5.945303210463733e-4,0,0,7.22543352601156e-4
Favorable,0,0,1,NA,40,9,2,29,0.023781212841854936,0.046632124352331605,0.01904761904761905,0.020953757225433526
Favorable,0,0,NA,NA,228,33,13,182,0.13555291319857313,0.17098445595854922,0.12380952380952381,0.1315028901734104
Favorable,0,1,0,0,1,0,0,1,5.945303210463733e-4,0,0,7.22543352601156e-4
Favorable,0,1,0,1,0,0,0,0,0,0,0,0
Favorable,0,1,0,NA,1,0,0,1,5.945303210463733e-4,0,0,7.22543352601156e-4
Favorable,0,1,1,0,0,0,0,0,0,0,0,0
Favorable,0,1,1,1,0,0,0,0,0,0,0,0
Favorable,0,1,1,NA,0,0,0,0,0,0,0,0
Favorable,0,1,NA,NA,1,0,0,1,5.945303210463733e-4,0,0,7.22543352601156e-4
Favorable,0,NA,NA,NA,229,33,13,183,0.1361474435196195,0.17098445595854922,0.12380952380952381,0.13222543352601157
Favorable,1,NA,NA,NA,3,0,0,3,0.0017835909631391202,0,0,0.002167630057803468
Favorable,NA,NA,NA,NA,232,33,13,186,0.13793103448275862,0.17098445595854922,0.12380952380952381,0.13439306358381503
Normal,0,0,0,0,186,22,3,161,0.11058263971462545,0.11398963730569948,0.02857142857142857,0.11632947976878613
Normal,0,0,0,1,52,6,6,40,0.030915576694411414,0.031088082901554404,0.05714285714285714,0.028901734104046242
Normal,0,0,0,NA,238,28,9,201,0.14149821640903687,0.14507772020725387,0.08571428571428572,0.14523121387283236
Normal,0,0,1,0,58,6,2,50,0.034482758620689655,0.031088082901554404,0.01904761904761905,0.036127167630057806
Normal,0,0,1,1,5,1,1,3,0.002972651605231867,0.0051813471502590676,0.009523809523809525,0.002167630057803468
Normal,0,0,1,NA,63,7,3,53,0.03745541022592152,0.03626943005181347,0.02857142857142857,0.03829479768786127
Normal,0,0,NA,NA,301,35,12,254,0.1789536266349584,0.18134715025906736,0.11428571428571428,0.18352601156069365
Normal,0,1,0,0,236,28,13,195,0.1403091557669441,0.14507772020725387,0.12380952380952381,0.14089595375722544
Normal,0,1,0,1,3,2,0,1,0.0017835909631391202,0.010362694300518135,0,7.22543352601156e-4
Normal,0,1,0,NA,239,30,13,196,0.14209274673008324,0.15544041450777202,0.12380952380952381,0.1416184971098266
Normal,0,1,1,0,161,14,7,140,0.09571938168846611,0.07253886010362694,0.06666666666666667,0.10115606936416185
Normal,0,1,1,1,1,0,0,1,5.945303210463733e-4,0,0,7.22543352601156e-4
Normal,0,1,1,NA,162,14,7,141,0.09631391200951249,0.07253886010362694,0.06666666666666667,0.101878612716763
Normal,0,1,NA,NA,401,44,20,337,0.2384066587395957,0.22797927461139897,0.19047619047619047,0.2434971098265896
Normal,0,NA,NA,NA,702,79,32,591,0.4173602853745541,0.40932642487046633,0.3047619047619048,0.4270231213872832
Normal,1,NA,NA,NA,112,8,13,91,0.06658739595719382,0.04145077720207254,0.12380952380952381,0.0657514450867052
Normal,NA,NA,NA,NA,814,87,45,682,0.4839476813317479,0.45077720207253885,0.42857142857142855,0.49277456647398843
NA,0,0,0,0,680,81,32,567,0.4042806183115339,0.41968911917098445,0.3047619047619048,0.4096820809248555
NA,0,0,0,1,73,9,6,58,0.043400713436385255,0.046632124352331605,0.05714285714285714,0.04190751445086705
NA,0,0,0,NA,753,90,38,625,0.44768133174791913,0.46632124352331605,0.3619047619047619,0.4515895953757225
NA,0,0,1,0,147,18,6,123,0.08739595719381689,0.09326424870466321,0.05714285714285714,0.0888728323699422
NA,0,0,1,1,8,1,1,6,0.0047562425683709865,0.0051813471502590676,0.009523809523809525,0.004335260115606936
NA,0,0,1,NA,155,19,7,129,0.09215219976218787,0.09844559585492228,0.06666666666666667,0.09320809248554913
NA,0,0,NA,NA,908,109,45,754,0.539833531510107,0.56476683937823835,0.42857142857142855,0.5447976878612717
NA,0,1,0,0,280,32,18,230,0.16646848989298454,0.16580310880829016,0.17142857142857143,0.16618497109826588
NA,0,1,0,1,3,2,0,1,0.0017835909631391202,0.010362694300518135,0,7.22543352601156e-4
NA,0,1,0,NA,283,34,18,231,0.16825208085612367,0.17616580310880828,0.17142857142857143,0.16690751445086704
NA,0,1,1,0,177,18,8,151,0.10523186682520809,0.09326424870466321,0.0761904761904762,0.10910404624277456
NA,0,1,1,1,1,0,0,1,5.945303210463733e-4,0,0,7.22543352601156e-4
NA,0,1,1,NA,178,18,8,152,0.10582639714625446,0.09326424870466321,0.0761904761904762,0.10982658959537572
NA,0,1,NA,NA,461,52,26,383,0.2740784780023781,0.2694300518134715,0.24761904761904763,0.27673410404624277
NA,0,NA,NA,NA,1369,161,71,1137,0.8139120095124851,0.8341968911917098,0.6761904761904762,0.8215317919075145
NA,1,NA,NA,NA,313,32,34,247,0.18608799048751487,0.16580310880829016,0.3238095238095238,0.17846820809248554
NA,NA,NA,NA,NA,1682,193,105,1384,1,1,1,1
